TIME,USER_1_NUMBER_OF_TRX,USER_1_AMOUNT,USER_2_NUMBER_OF_TRX,USER_2_AMOUNT,USER_3_NUMBER_OF_TRX,USER_3_AMOUNT,USER_4_NUMBER_OF_TRX,USER_4_AMOUNT,USER_5_NUMBER_OF_TRX,USER_5_AMOUNT,MERCHANT_1_NUMBER_OF_TRX,MERCHANT_1_AMOUNT,MERCHANT_2_NUMBER_OF_TRX,MERCHANT_2_AMOUNT,MERCHANT_3_NUMBER_OF_TRX,MERCHANT_3_AMOUNT,MERCHANT_4_NUMBER_OF_TRX,MERCHANT_4_AMOUNT,MERCHANT_5_NUMBER_OF_TRX,MERCHANT_5_AMOUNT
2021-05-05 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,4586879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55074.23,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75493.3,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51906.42,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 17:00:00,1.0,53242.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15400.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48242.43,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 20:00:00,1.0,21144.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 21:00:00,0.0,0.0,8.0,120132.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81714.44,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05 22:00:00,1.0,61600.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6100.0,0.0,0.0,0.0,0.0,0.0,0.0
